1,krasnov,sergey,petrovich,abc-company,,89011223344
2,ivanov,igor,alekseevich,xyz-inc,,89153336699
3,smirnov,alexander,vladimirovich,skybiz,,89771234567
4,petrov,pavel,dmitrievich,tech-solutions,,89665554433
5,sokolov,dmitry,ivanovich,netguru,,89887776655
6,volkov,oleg,aleksandrovich,web-masters,,89998887766
7,kozlov,denis,sergeevich,codecrafters,89990001122,
8,sidorov,anton,anatolevich,app-devs,,89001112233
9,novikov,artem,vitalievich,digital-co,,89227778899
10,antonov,roman,alexandrovich,techteam,,89336669988
11,gorbachev,yuri,pavlovich,innovation-lab,89445556677,
12,smirnova,olga,alekseevna,softsol,,89771112233
13,ivanova,maria,sergeevna,cybercoders,89004445566,
14,sokolova,ekaterina,viktorovna,data-experts,,89112233445
15,petrova,anna,ivanovna,techgenius,,89667778899
16,kozlova,natalia,pavlovna,app-makers,89556667788,
17,popov,alexey,sergeevich,web-wizards,,89881112233
18,bogdanov,dmitriy,aleksandrovich,codecrushers,,89334445566
19,ivanenko,viktor,petrovich,brain-bots,,89992223344
20,morozov,yevgeny,alekseevich,byte-builders,89221112233,
21,stepanov,alexandr,vitalievich,tech-titans,,89005556677
22,ivanov,alexey,dmitrievich,data-dreamers,,89441112233
23,romanova,elena,ivanovna,codewave,,89774445566
24,smirnov,sergey,sergeevich,web-whizzes,,89993334455
25,sokolov,ivan,anatolevich,app-architects,89660001122,
26,kuznetsov,sergei,petrovich,byte-brigade,,89332221122
27,volkov,alexander,dmitrievich,dev-divers,,89226667788
28,antonova,natalia,alekseevna,tech-savvy,,89001113344
29,ivanova,irina,vladimirovna,codecraft,,89771113344
30,alimova,marina,dmitrievna,byte-brokers,89881113344,
